"Customer Login","SKY PREMIUM â€“ Member Login"
"We found %1 product for '%2'","We found <span class=""bold"">%1</span> product for '<span class=""bold"">%2</span>'"
"We found %1 products for '%2'","We found <span class=""bold"">%1</span> products for '<span class=""bold"">%2</span>'"
"Sort By","Sort by:"
"Add to Wish List","Add to Favourites"
"Update Wish List","Update Favourites"
"Share Wish List","Share Favourites"
"My Wish List","My Favourites"
"Wish List Sharing","Favourites Sharing"
"%1 has been added to your Wish List.","%1 has been added to your Favourites."
"%1 has been updated in your Wish List.","%1 has been updated in your Favourites."
"This Wish List has no Items","My Favourites has no item"
"Refine","Refine:"
"Cart Subtotal","Subtotal"
"Order Total","Grand Total"
"Shipping & Handling","Shipping & Handling"
"You saved the address.","Address updated successfully."
"You used coupon code ""%1"".","Promo code ""%1"" applied successfully."
"You canceled the coupon code.","Promo code removed successfully."
"Address Book","Delivery Address Book",module,Magento_Customer
"Save Address","Save Delivery Address",module,Magento_Checkout